,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1,62,Giovanni Abagnale,M,21.0,198.0,90.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
2,6346,Jrmie Azou,M,27.0,178.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
3,8025,Thomas Gabriel Jrmie Baroukh,M,28.0,183.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
4,8214,Jacob Jepsen Barse,M,27.0,188.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
5,9764,Alexander Belonogoff,M,26.0,187.0,90.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
6,10181,Paul Bennett,M,27.0,207.0,100.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
7,13120,Hamish Byron Bond,M,30.0,189.0,89.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Gold
8,13359,"Joshua ""Josh"" Booth",M,25.0,190.0,93.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
9,13395,Kjetil Borch,M,26.0,193.0,84.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Bronze
10,15181,Lawrence Brittain,M,25.0,187.0,94.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver
11,15743,Kristoffer Brun,M,28.0,175.0,70.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
12,18870,Matteo Castaldo,M,30.0,188.0,86.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
13,22307,Thibault Colard,M,24.0,187.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
14,28068,Marco Di Costanzo,M,24.0,184.0,87.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
15,29899,Felix Drahotta,M,27.0,200.0,102.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
16,30156,Alexander Mah Owens Drysdale,M,37.0,200.0,102.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
17,30664,Joshua Dunkley-Smith,M,27.0,194.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
18,30808,Scott David Durant,M,28.0,196.0,96.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
19,32577,Tnu Endrekson,M,37.0,198.0,104.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
20,36350,Karsten Forsterling,M,36.0,191.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
21,40549,Cameron Girdlestone,M,28.0,190.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
22,42000,"Matthew Anthony W. ""Matt"" Gotrel",M,27.0,195.0,95.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
23,42734,"Alexander John ""Alex"" Gregory",M,32.0,198.0,97.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
24,43037,Mindaugas Grikonis,M,30.0,190.0,92.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Silver
25,43300,Hans Gruhne,M,27.0,193.0,92.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
26,44384,Mario-Elio Gyr,M,31.0,187.0,76.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
27,47603,Kaj Hendriks,M,28.0,197.0,95.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
28,48553,"Alexander ""Alex"" Hill",M,23.0,194.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
29,48586,Phelan Peter Hill,M,37.0,172.0,55.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
30,50232,Pierre Houin,M,22.0,182.0,74.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
31,53423,Malte Jakschik,M,23.0,194.0,93.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
32,53547,Andrei Jms,M,34.0,184.0,90.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
33,55069,Eric Johannesen,M,28.0,193.0,100.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
34,56133,Morten Jrgensen,M,31.0,183.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
35,58380,Shaun Keeling,M,29.0,196.0,94.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver
36,64676,Andreas Kuffner,M,29.0,196.0,94.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
37,66517,"Matthew Keir ""Matt"" Langridge",M,33.0,194.0,93.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
38,66805,Jacob Sgaard Larsen,M,28.0,182.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
39,70979,William Lockwood,M,28.0,191.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
40,70992,Matteo Lodo,M,21.0,196.0,90.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
41,71687,Constantine Michael Louloudis,M,24.0,190.0,92.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
42,72059,Robert Lcken,M,31.0,199.0,95.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
43,75551,Damir Martin,M,28.0,189.0,97.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Silver
44,77955,James McRae,M,29.0,193.0,93.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
45,79256,Boaz Cornelius Meylink,M,32.0,195.0,93.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
46,81588,Domenico Montrone,M,30.0,189.0,97.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
47,83359,Maximilian Munski,M,28.0,195.0,96.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
48,83571,Eric Gordon Murray,M,34.0,195.0,98.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Gold
49,84598,George Christopher Nash,M,26.0,195.0,96.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
50,86104,Simon Niepmann,M,31.0,180.0,71.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
51,87939,Hannes Ocik,M,25.0,191.0,93.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
52,87962,Gary O'Donovan,M,23.0,172.0,70.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver
53,87963,Paul O'Donovan,M,22.0,177.0,70.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver
54,98419,Guillaume Louis Benoit Raineau,M,30.0,187.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours, Bronze
55,98448,Allar Raja,M,33.0,190.0,95.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
56,98886,"Thomas Matthew ""Tom"" Ransley",M,30.0,198.0,101.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
57,99523,"Peter ""Pete"" Reed",M,35.0,197.0,100.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
58,99780,Maximilian Reinelt,M,27.0,195.0,98.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
59,101070,Saulius Ritter,M,27.0,202.0,110.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Silver
60,101889,Boudewijn Rell,M,27.0,195.0,100.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
61,105974,"William Spencer ""Will"" Satch",M,27.0,198.0,100.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
62,106100,Martin Sauer,M,33.0,169.0,55.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
63,106423,"Mohamed Karim ""Moe"" Sbihi",M,28.0,202.0,110.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
64,107131,Richard Schmidt,M,29.0,191.0,87.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
65,107434,Lauritz Schoof,M,25.0,195.0,98.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
66,107703,Karl Schulze,M,28.0,190.0,100.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
67,107750,Simon Schrch,M,25.0,186.0,75.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
68,110265,Olivier Floris Johannes Siegelaar,M,29.0,197.0,100.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
69,111300,Martin Sinkovi,M,26.0,188.0,95.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
70,111301,Valent Sinkovi,M,28.0,187.0,93.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
71,112904,Franck Robert Bernard Solforosi,M,31.0,184.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
72,115643,Are Weierholt Strandli,M,27.0,181.0,69.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
73,117258,Ondej Synek,M,33.0,199.0,105.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Bronze
74,117835,Kaspar Taimsoo,M,29.0,194.0,95.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
75,121635,Lucas Tramr,M,26.0,183.0,75.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
76,121915,"Andrew ""Andy"" Triggs Hodge",M,37.0,192.0,97.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
77,122530,Olaf Karl Tufte,M,40.0,193.0,94.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Bronze
78,123195,Dirk Uittenbogaard,M,26.0,199.0,93.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
79,126144,"Pieter Gilles ""Mechiel"" Versluis",M,29.0,197.0,95.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
80,126330,Giuseppe Vicino,M,23.0,195.0,95.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
81,129601,Phillipp Wende,M,31.0,199.0,90.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
82,130259,Peter Noel Jan Wiersum,M,31.0,173.0,55.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
83,130298,Tone Wieten,M,22.0,201.0,102.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
84,131072,Kasper Winther Jrgensen,M,31.0,182.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
